"Iteration","Continuity: Residual","X-momentum: Residual","Y-momentum: Residual","Z-momentum: Residual","Tdr: Residual","uu-stress: Residual","vv-stress: Residual","ww-stress: Residual","uv-stress: Residual","vw-stress: Residual","uw-stress: Residual","Alpha: Residual"
1.0,1.280660570054299E-6,0.9999999999999999,5.2880636618912595E-6,5.260812875222178E-6,0.1802901935962596,0.5197236900098656,0.18041897331363724,0.18041762696648894,1.0,0.0,1.0,5.010201554465353E-6
32.0,0.11988300421421166,0.08801855685423199,0.12315045533745762,0.1242828258982628,0.007342860557782071,0.015097895787437317,0.006828339002744359,0.006828794792611999,3.8845353896860715E-5,0.003917317820976519,4.285300108728773E-5,0.19782805865942812
64.0,0.011329630977587041,0.08792189599754237,0.029253208435373535,0.029289356272451345,7.073874785974289E-4,0.012660108414166614,0.005291855044179391,0.005292087449107075,4.430568907355682E-5,0.001563723466511562,4.469207753762056E-5,0.10869537786141888
95.0,0.006885582867207658,0.08784039918915319,0.021266122419552662,0.02129830292133597,4.0583900194786804E-4,0.01154159290333927,0.00479093800715426,0.004791082778738301,5.364685318631374E-5,0.0014180970410963313,5.327230105003484E-5,0.07799390200758742
127.0,0.005001611524956357,0.08774896054463444,0.018882877283602575,0.018909700178352966,3.1191808717305047E-4,0.010623396353997852,0.0044229233985115714,0.004422999010520532,6.141581138184372E-5,0.0014142630515800747,6.091366945078214E-5,0.061123088611246885
158.0,0.003844546005634928,0.08765319947044897,0.01817334459612096,0.018200916380280183,2.6551939845041E-4,0.00986949103328351,0.004131925989909868,0.004131943448035275,6.798210162351933E-5,0.0014398130873321743,6.74989884049244E-5,0.05083548044856479
190.0,0.003029493102132413,0.0875477335985081,0.018188746329906753,0.018218183539367404,2.3364861622543825E-4,0.00919155240874368,0.003873474841890315,0.0038734535977035366,7.401664659376181E-5,0.0014703613427598332,7.358522157016695E-5,0.04346321045720017
221.0,0.002490467527904838,0.08744015690394563,0.01854993641971477,0.018583653731251627,2.104196107855423E-4,0.008610899353462126,0.0036524060269600036,0.0036523692044553493,7.922839911123308E-5,0.0014971635941073967,7.884969126871668E-5,0.0381906574006887
253.0,0.0020236918779759907,0.08732426470442925,0.019174804596841795,0.019202301631378548,1.9108566467512466E-4,0.008075580703074833,0.0034475802577206135,0.0034475478293278443,8.400272370117853E-5,0.0015199753874590655,8.367206937383496E-5,0.03398995651169052
284.0,0.0016894141002287122,0.08720804622353662,0.01986157479962124,0.019886018165526844,1.7534642242873457E-4,0.007609193405769346,0.0032675538333186774,0.0032675389485061807,8.807699463387658E-5,0.0015371017621952537,8.778580026311783E-5,0.03074715879248514
316.0,0.0014263324677584567,0.08708435003889108,0.020624984189868655,0.02064530291102136,1.613310162967222E-4,0.007173681191054725,0.0030975321372081594,0.0030975430261600536,9.17460059043899E-5,0.0015499675632556806,9.148896167810237E-5,0.028011044722518186
348.0,0.00121956033438928,0.08695731977823809,0.021413548026941134,0.021424788860775312,1.4911606901043457E-4,0.00677831951290824,0.002941146337764913,0.0029411852674023887,9.490221152099268E-5,0.0015584775546335016,9.467351229968445E-5,0.02573645697279099
379.0,0.0010522405964414217,0.0868316859280268,0.022181004662293946,0.022179973881446696,1.3861324259744048E-4,0.006428682590149371,0.002800930045224848,0.002800994688679384,9.750199635966211E-5,0.0015630464283912014,9.729630637733297E-5,0.02386953659733517
411.0,9.138599720833496E-4,0.08670000580447146,0.0229603794389045,0.022947650357104665,1.2888749086723155E-4,0.006097993782632507,0.0026664156675151453,0.0026665051612249774,9.974489311690882E-5,0.0015643468137219413,9.955965974689955E-5,0.02221451439205904
442.0,8.036693747696681E-4,0.08657108875687677,0.02369815997428327,0.02367353839602978,1.2035686576412182E-4,0.005803585564452534,0.0025449344118845486,0.0025450446191950626,1.0152145227211385E-4,0.0015625944659577028,1.0135379167640415E-4,0.020822238633902725
474.0,7.075637920536886E-4,0.08643701676240723,0.024431797200204795,0.02439953257040571,1.1236273448188972E-4,0.005523381667340627,0.0024276903477407513,0.002427819322367584,1.0297762096657115E-4,0.0015579580086278772,1.0282653803338608E-4,0.019561913858439885
505.0,6.266304485890471E-4,0.08630608161476638,0.025113474144918584,0.025078058655880073,1.052993747950577E-4,0.005272397261536821,0.0023212526441341633,0.0023213972069143006,1.0405298863437109E-4,0.0015509671318790397,1.0391652465551258E-4,0.018482451630885317
537.0,5.684250797848617E-4,0.08617055736451516,0.02578117389659849,0.025747623724520458,9.861609709170271E-5,0.005032232711995537,0.0022180946011802704,0.0022182536185351084,1.048485285821332E-4,0.0015413946212456283,1.047268193390079E-4,0.01749001515500676
568.0,5.018333408888241E-4,0.08603938578182647,0.02639230115886437,0.02636773380833639,9.265976100078437E-5,0.004816049731986474,0.0021241125924679684,0.0021242832225596238,1.0534353094971446E-4,0.0015300209703045509,1.0523578145594031E-4,0.01662831398302669
600.0,4.522123834648867E-4,0.08590425365618502,0.02698404693280063,0.0269714613369512,8.698383265232634E-5,0.004608224804860725,0.00203274626362736,0.0020329273979089813,1.0559891002074215E-4,0.0015162890197950227,1.0550487702170141E-4,0.015826428299070966
632.0,4.0371050121295357E-4,0.08576951193572475,0.02753753696332701,0.027541258818736928,8.174739529670108E-5,0.004414443703066973,0.0019466656660046707,0.0019468556279869235,1.0562315273696542E-4,0.0015007154791156958,1.055423783974352E-4,0.015100952639729418
663.0,3.764160450992592E-4,0.08563978424129945,0.02803696979796764,0.028053960758961036,7.70516179129041E-5,0.004238843700235874,0.0018679361879942067,0.001868133032395654,1.0545145738448507E-4,0.0014840344033580127,1.0538347817279521E-4,0.014461202286906913
695.0,3.4404999922116314E-4,0.08550682437701158,0.02851268462553403,0.02854694578359651,7.255407447949024E-5,0.004068948722046042,0.0017911300514027186,0.0017913325896086612,1.0509718151752523E-4,0.001465333633799302,1.0504223247221582E-4,0.013857532087867098
726.0,3.106932655965353E-4,0.08537903552548749,0.028935542555298236,0.028988682085126935,6.850365217070384E-5,0.003914417564781244,0.001720748723428616,0.0017209553263757853,1.0460450610102563E-4,0.0014459233914428592,1.0456159687253103E-4,0.013320957700310219
758.0,2.8561145467216137E-4,0.08524859170103488,0.029334238615817566,0.02940356546857421,6.461010451351247E-5,0.003764377796375351,0.0016519669240711308,0.001652176320441069,1.0396266479126553E-4,0.0014246956842632987,1.039315571503077E-4,0.012810949359619196
789.0,2.613646244318795E-4,0.08512350207046192,0.029682892383660456,0.029765719099133316,6.109603787348553E-5,0.0036274204943498494,0.0015888318617662239,0.0015890427204399678,1.0323003012196337E-4,0.0014031224308001813,1.0320979313212703E-4,0.012354575540103264
821.0,2.378522711111617E-4,0.08499591597525435,0.030004503596778215,0.030098918058806795,5.771302854487096E-5,0.0034939898204461757,0.0015270331382899501,0.001527243815537715,1.0237683810005818E-4,0.001379963317109241,1.0236729822750273E-4,0.01191812186266799
852.0,2.1883181567516964E-4,0.08487396366908836,0.030278148108167476,0.03038158502677955,5.465231859099102E-5,0.0033718164557748806,0.0014702252877837546,0.0014704347606981816,1.014713913492005E-4,0.0013568075023006683,1.01471624131876E-4,0.011525353110085694
884.0,2.054470553462568E-4,0.08474975669355203,0.030522277263517306,0.030631806257956966,5.1697794387300416E-5,0.003252440777831667,0.0014145420439950797,0.0014147496855600919,1.0046932730712574E-4,0.001332300090531217,1.0047903727373812E-4,0.011147753242677489
915.0,1.888274091152175E-4,0.08463118760351075,0.030722775318045605,0.03083674918005647,4.901843846111687E-5,0.003142834612536547,0.00136328746078276,0.0013634925310677757,9.944539087983201E-5,0.0013080876663100892,9.946350268822265E-5,0.010806272738122454
947.0,1.7885957198765336E-4,0.08451068490236177,0.030892104660877894,0.031007564896385936,4.642767962526562E-5,0.0030354530846042472,0.001312982637830993,0.0013131844891543947,9.834450103685204E-5,0.0012827282405965426,9.837057812720161E-5,0.01047646150436782
979.0,1.71134631030566E-4,0.08439202226093732,0.031023741060999647,0.03113912170916256,4.400190182152062E-5,0.00293349090685117,0.0012651598783747513,0.001265357711321946,9.720888536244899E-5,0.0012571093104841963,9.724226853583162E-5,0.010167547926555354
1010.0,1.5952619705301277E-4,0.08427898901196071,0.03111619215502656,0.03122999822048335,4.179739454770323E-5,0.002839516584192739,0.0012210562429533056,0.0012212498910400553,9.608369774414779E-5,0.001232143416223409,9.612353137682121E-5,0.009886418507493788
1042.0,1.4841401514622437E-4,0.08416421487224077,0.031176961085677374,0.03128748043643346,3.966038812881997E-5,0.0027471278188182856,0.0011776910125301159,0.0011778799676525036,9.490353147081764E-5,0.0012063101170060968,9.494933637762774E-5,0.009613293291445417
1073.0,1.3760038204028185E-4,0.08405494853168416,0.031202718111847872,0.03130865488465712,3.7714692871862354E-5,0.0026617981005216296,0.0011376517576335296,0.0011378362711229007,9.37482525187898E-5,0.0011812959904932375,9.379917497597193E-5,0.009363840848144069
1105.0,1.3329798605377563E-4,0.08394413576362833,0.031196439300332834,0.03129798491802749,3.582575088028224E-5,0.002577732127217982,0.001098236577482012,0.0010984159042402505,9.254838149161705E-5,0.001155554320753006,9.26039961932311E-5,0.00912066562127777
1136.0,1.2718321317439576E-4,0.08383864483782333,0.031160500348658377,0.03125628691168947,3.4103970678293165E-5,0.0024999358533240087,0.0010618027788909916,0.0010619769165283277,9.138310287256133E-5,0.0011307524022742645,9.144262133656659E-5,0.008897849999061985
1168.0,1.2252818454440098E-4,0.08373171311269223,0.031092621633554154,0.03118411897688378,3.243062023252615E-5,0.002423150999830728,0.0010258968069818259,0.001026065307699081,9.018078199068548E-5,0.001105345504143817,9.024379248241978E-5,0.0086799777664788
1199.0,1.1212691064163449E-4,0.08362998768603064,0.03099675478395251,0.031085744897302352,3.0903311387387336E-5,0.0023519685421522253,9.926704214143253E-4,9.928332525870472E-4,8.90192070679797E-5,0.001080968007206703,8.908505656085088E-5,0.008479770151302765
1231.0,1.0549375647488775E-4,0.08352693478194306,0.030875155573295357,0.0309577169448339,2.9416597423428515E-5,0.0022815961770737444,9.598905567774588E-4,9.600472252872117E-4,8.78257202194706E-5,0.0010560842142351983,8.78939196769617E-5,0.008283466567282799
1263.0,1.0340541487997838E-4,0.08342585185981842,0.030725537541549542,0.030803682523273427,2.8015395278393755E-5,0.0022141924280969804,9.285670089926511E-4,9.287175648917834E-4,8.663951518877236E-5,0.0010315234818641498,8.670958507768153E-5,0.008096915576474522
1294.0,9.955985405744892E-5,0.08332977955703923,0.030557298795076272,0.030631883083476762,2.6733718547926952E-5,0.002151560104611979,8.995347133396924E-4,8.996790865738033E-4,8.549860679071044E-5,0.0010080705750807619,8.557002643568137E-5,0.007924824930804418
1326.0,9.552513389544077E-5,0.08323248715245668,0.03036141559401288,0.030432567168219533,2.5484355740220785E-5,0.0020895026966624435,8.708471200345497E-4,8.709849024572106E-4,8.433009507441462E-5,9.842414683005722E-4,8.440239098782626E-5,0.0077554629929662
1357.0,8.586968940395333E-5,0.08314004871130977,0.03015055689503454,0.030218674301409544,2.4340605775566964E-5,0.0020317621051159783,8.442309833892554E-4,8.443624195698145E-4,8.320746117086146E-5,9.61554274370646E-4,8.328002918804959E-5,0.0075988696618773666
