"Vorticity: Magnitude (/s)","Vorticity[i] (/s)","Vorticity[j] (/s)","Vorticity[k] (/s)","Velocity: Magnitude (m/s)","Velocity[i] (m/s)","Velocity[j] (m/s)","Velocity[k] (m/s)","Turbulent Viscosity Ratio","Turbulent Viscosity (Pa-s)","Turbulent Kinetic Energy (J/kg)","Turbulent Dissipation Rate (m^2/s^3)","Turbulent Charge (/s^2)","X (m)","Y (m)","Z (m)"
0.426254921159545,-0.0264864787459373,0.0218424815684557,-0.424870133399963,0.358722359470613,0.358721733093262,0.0006644232198596,8.90646697371267e-05,32.8354072570801,0.00060912303160876,0.000964099075645208,0.000125981154269539,1.09023141860962,0.05,0.133707166023541,0.358913154360911
0.398742639751664,-0.0261697955429554,0.024478143081069,-0.397129267454147,0.362511380444035,0.362510830163956,0.00062854471616447,-6.24245076323859e-05,33.7299270629883,0.000625717104412615,0.000931547256186605,0.000114608337753452,1.01360356807709,0.05,0.142938363791514,0.358913154360911
0.429613371469597,-0.0242277197539806,0.0170773640275002,-0.428589582443237,0.358999117576368,0.358998209238052,0.000797033600974828,0.000130084285046905,32.8517761230469,0.000609426700975746,0.000969540036749095,0.000127344246720895,1.05788385868073,0.05,0.133707166023541,0.37325671637983
0.37323625024574,-0.0256632082164288,0.0273626763373613,-0.371346175670624,0.366170662114409,0.366170138120651,0.000583455839660019,-0.000208137673325837,34.5942573547363,0.000641751161310822,0.000899787992238998,0.000104330654721707,0.95225715637207,0.05,0.152472974334332,0.358913154360911
0.402296754091205,-0.0240372605621815,0.0194084942340851,-0.401108711957932,0.362823740126069,0.362822920084,0.00077135901665315,-8.12750477052759e-06,33.7327766418457,0.000625769956968725,0.000936890719458461,0.000115917806397192,0.982041537761688,0.05,0.142938363791514,0.37325671637983
0.4326342729447,-0.0217714551836252,0.0130444318056107,-0.431889176368713,0.359215308469562,0.359214097261429,0.000919785641599447,0.000155441026436165,32.8720932006836,0.000609803595580161,0.000974705209955573,0.000128625571960583,1.02691602706909,0.05,0.133707166023541,0.38776584971673
0.349441238411328,-0.0249837376177311,0.030482454225421,-0.347211480140686,0.369702075739196,0.369701534509659,0.000529613345861435,-0.000345972221111879,35.4251251220703,0.000657164433505386,0.00086872949032113,9.50232788454741e-05,0.902613043785095,0.05,0.162312466027142,0.358913154360911
0.376941427042268,-0.0236753709614277,0.0219772141426802,-0.37555468082428,0.366522095143246,0.366521328687668,0.000736034184228629,-0.000141770593472756,34.5809631347656,0.000641504535451531,0.000904944492504001,0.000105571147287264,0.9218989610672,0.05,0.152472974334332,0.37325671637983
0.405516705504314,-0.0216752886772156,0.0150785585865378,-0.404656171798706,0.363071554706146,0.363070428371429,0.000903812353499234,3.16568221023772e-05,33.7412910461426,0.000625927932560444,0.000942002981901169,0.000117157251224853,0.95132702589035,0.05,0.142938363791514,0.38776584971673
0.435299921124849,-0.0191289111971855,0.00973523780703545,-0.434770435094833,0.359379914672877,0.359378397464752,0.00103103241417557,0.000165765231940895,32.8949928283691,0.000610228453297168,0.000979495816864073,0.000129802851006389,0.997549474239349,0.05,0.133707166023541,0.40242319432331
