"Iteration","Mass Flow 1 Monitor: Mass Flow 1 Monitor (kg/s)"
1.0,6.13949676940872E-4
24.0,0.014424044548417572
47.0,0.02731289297100227
70.0,0.03942767214167778
93.0,0.05080565196628551
116.0,0.06144474629140472
139.0,0.07138221830792199
162.0,0.08067921848936563
185.0,0.08939924407173491
209.0,0.09794442855014568
232.0,0.10565363743380547
255.0,0.11293673620404442
278.0,0.11983021262160068
301.0,0.12636644684718523
324.0,0.13256709403231648
347.0,0.13841651552034911
370.0,0.14392433445327868
394.0,0.14932621443514854
417.0,0.15418873840904318
440.0,0.15876579508884656
463.0,0.16310821852585372
486.0,0.1672541937846127
509.0,0.17122555967525746
532.0,0.17504110429021125
555.0,0.1787172047325038
579.0,0.18241900120205795
602.0,0.18584891616218496
625.0,0.18917201257873828
648.0,0.19239495061569922
671.0,0.19552351419243347
694.0,0.19856289746999792
717.0,0.2015179108800118
740.0,0.20439307501535675
764.0,0.20731271533151482
787.0,0.21003760450393347
810.0,0.212694599746623
833.0,0.21528701598132094
856.0,0.2178179289936013
879.0,0.2202901825622524
902.0,0.22270643120180778
925.0,0.22506915625937934
949.0,0.22748004872117833
972.0,0.22974045923510417
995.0,0.23195398693467706
1018.0,0.23412255586613873
1041.0,0.236247984032041
1064.0,0.23833199480352107
1087.0,0.24037620688230826
1110.0,0.2423821710009156
1134.0,0.24443617010728422
1157.0,0.24636850678171152
1180.0,0.2482669172257763
1203.0,0.250132715926334
1226.0,0.25196718861925793
1249.0,0.25377156822642744
1272.0,0.2555470323588327
1295.0,0.2572946973418071
1319.0,0.2590898605998462
1342.0,0.2607839719938034
1365.0,0.26245336096435656
1388.0,0.26409894169030834
1411.0,0.2657215823643071
1434.0,0.2673221074836763
1457.0,0.26890130410245294
1480.0,0.27045991833710137
1504.0,0.27206511756908736
1527.0,0.2735838215179235
1550.0,0.27508397453124345
1573.0,0.2765661734255088
1596.0,0.278030984650352
1619.0,0.2794789346624423
1642.0,0.2809105164620166
1665.0,0.2823261927571791
1689.0,0.2837869348927168
1712.0,0.28517143650932275
1735.0,0.2865412713667349
1758.0,0.2878967918868502
1781.0,0.2892383233861172
1804.0,0.2905661655584073
1827.0,0.2918805971383991
1850.0,0.2931818756806873
1873.0,0.294470241633282
1897.0,0.29580109699860135
1920.0,0.297063745594064
1943.0,0.29831409693025746
1966.0,0.2995523185922361
1989.0,0.30077856381643797
2012.0,0.3019929677515143
2035.0,0.3031956539055554
2058.0,0.30438672704556097
2082.0,0.30561730756738853
2105.0,0.30678492911010846
2128.0,0.3079411845208327
2151.0,0.309086130806399
2174.0,0.3102198143981799
2197.0,0.3113422743069325
2220.0,0.3124535358805582
2243.0,0.31355361714173524
2267.0,0.31468961730000167
2290.0,0.31576686934692094
2313.0,0.3168329396246251
2336.0,0.31788781142758404
2359.0,0.3189314623793347
2382.0,0.3199638619134427
2405.0,0.32098497689336736
2428.0,0.32199476708233055
2452.0,0.3230363343808149
2475.0,0.32402282908544494
2498.0,0.3249978449608043
2521.0,0.3259613263611876
2544.0,0.32691322157152913
2567.0,0.3278534795818435
2590.0,0.3287820527185963
2613.0,0.32969889887703263
2637.0,0.3306430670058645
2660.0,0.331535849438226
2683.0,0.33241682680891127
2706.0,0.33328600134734654
2729.0,0.33414339164627027
2752.0,0.33498903401376556
2775.0,0.3358229892136547
2798.0,0.3366453347873012
2822.0,0.337491179799693
2845.0,0.33829016225272246
2868.0,0.3390779293160388
2891.0,0.33985465095682316
2914.0,0.3406205257500826
2937.0,0.3413757649966889
2960.0,0.34212059399586214
2983.0,0.34285526458084425
3007.0,0.34361131255873234
3030.0,0.34432600342459874
3053.0,0.34503132497031597
3076.0,0.34572753386042077
3099.0,0.3464149029505007
3122.0,0.3470936874414836
3145.0,0.3477641556047443
3168.0,0.34842655247951737
3192.0,0.34910941931281747
3215.0,0.34975609758692777
3238.0,0.35039543909446225
3261.0,0.35102767326464984
3284.0,0.3516530104486461
3307.0,0.35227166640622565
3330.0,0.35288383596250184
3353.0,0.3534897177146669
3377.0,0.35411543705862025
3400.0,0.3547090352534682
3423.0,0.3552968834950659
3446.0,0.35587914304192314
3469.0,0.3564559743693386
3492.0,0.3570275252226164
3515.0,0.3575939431041248
3538.0,0.3581553658639971
3562.0,0.3587360166882976
3585.0,0.35928764284751624
3608.0,0.35983466596133484
3631.0,0.3603772066593445
3654.0,0.3609153783587775
3677.0,0.36144929141136684
3700.0,0.36197905175663314
3723.0,0.3625047673000329
3746.0,0.3630265373370848
3770.0,0.3635668881547264
3793.0,0.3640808900351755
3816.0,0.3645912326243488
3839.0,0.3650980037264207
3862.0,0.36560128560390937
3885.0,0.3661011645206854
3908.0,0.3665977211330239
3931.0,0.36709103015437644
3955.0,0.36760241008368333
3978.0,0.36808932162344205
4001.0,0.3685732135013173
4024.0,0.3690541534021864
4047.0,0.3695322114738093
4070.0,0.37000745333740603
4093.0,0.3704799440728006
4116.0,0.3709497440012811
4140.0,0.3714371715192072
4163.0,0.371901669605728
4186.0,0.3723636586113088
4209.0,0.37282319837717626
4232.0,0.3732803446962866
4255.0,0.3737351491858062
4278.0,0.37418766789471425
4301.0,0.3746379501910757
4325.0,0.3751054803228998
4348.0,0.37555134825260067
4371.0,0.3759951288995643
4394.0,0.3764368718881147
4417.0,0.3768766200564704
4440.0,0.3773144187913854
4463.0,0.37775031105254425
4486.0,0.3781843374210572
4510.0,0.3786352919962853
4533.0,0.3790656366741266
4556.0,0.3794942395115186
4579.0,0.37992113699644875
4602.0,0.38034636718644516
4625.0,0.38076996465607527
4648.0,0.3811919643579079
4671.0,0.381612401401073
4695.0,0.3820494857897896
4718.0,0.3824668277808459
4741.0,0.38288270116045064
4764.0,0.38329713613440664
4787.0,0.38371016410543646
4810.0,0.3841218107101677
4833.0,0.38453210033146623
4856.0,0.3849410626495729
4880.0,0.3853664145495004
4903.0,0.3857727360553821
4926.0,0.38617779905204797
4949.0,0.38658162985151234
4972.0,0.3869842450384686
4995.0,0.3873856646144158
5018.0,0.3877859108107769
5041.0,0.3881850006469375
5065.0,0.3886002289402143
5088.0,0.38899700743629645
5111.0,0.38939268281753703
5134.0,0.3897872656251778
5157.0,0.3901807704189804
5180.0,0.3905732100414029
5203.0,0.39096459572593556
5226.0,0.3913549376093101
5250.0,0.3917611514894075
5273.0,0.39214939248148517
5296.0,0.39253661486635316
5319.0,0.3929228287604611
5342.0,0.39330804238980643
5365.0,0.39369225804287544
5388.0,0.3940754839336007
