"Vorticity: Magnitude (/s)","Vorticity[i] (/s)","Vorticity[j] (/s)","Vorticity[k] (/s)","Velocity: Magnitude (m/s)","Velocity[i] (m/s)","Velocity[j] (m/s)","Velocity[k] (m/s)","Turbulent Viscosity Ratio","Turbulent Viscosity (Pa-s)","Turbulent Kinetic Energy (J/kg)","Turbulent Dissipation Rate (m^2/s^3)","Turbulent Charge (/s^2)","X (m)","Y (m)","Z (m)"
0.133404480125691,-0.00863296166062355,-0.00291217886842787,-0.133092999458313,0.0734032616241349,0.0734027251601219,0.000275156402494758,5.51822704437654e-05,10.9098825454712,0.000202387047465891,8.56065453263e-05,2.15991030927398e-06,0.091276153922081,0.05,0.133707166023541,0.358913154360911
0.120946864202548,-0.00862188823521137,-0.00156586128287017,-0.120628997683525,0.074571094741877,0.0745706260204315,0.000264389644144103,2.00972704078595e-06,11.4059915542603,0.000211590260732919,8.23189184302464e-05,1.99252599486499e-06,0.0824431627988815,0.05,0.142938363791514,0.358913154360911
0.135326545152209,-0.00766500923782587,-0.00323988310992718,-0.135070443153381,0.0733585063544034,0.0733578130602837,0.000312006624881178,6.61016456433572e-05,11.0128221511841,0.000204296651645564,8.67340422701091e-05,2.20308402276714e-06,0.0895801410079002,0.05,0.133707166023541,0.37325671637983
0.10977597380761,-0.00855633988976479,-0.000197346162167378,-0.109441831707954,0.0756650680327138,0.0756646394729614,0.000249733566306531,-4.98695080750622e-05,11.8499765396118,0.000219826542888768,7.90746853454039e-05,1.83585837021383e-06,0.0749602988362312,0.05,0.152472974334332,0.358913154360911
0.122848391435083,-0.00768197001889348,-0.00204462767578661,-0.12259092181921,0.0745445645150513,0.0745439380407333,0.000305054563796148,1.84886739589274e-05,11.5049686431885,0.000213426363188773,8.34051024867222e-05,2.03384024644038e-06,0.0809601098299026,0.05,0.142938363791514,0.37325671637983
0.13703282754722,-0.0067060636356473,-0.00335682858712971,-0.13682746887207,0.0733100718557252,0.0733092278242111,0.000344464526278898,7.13827685103752e-05,11.1093797683716,0.000206087875994854,8.77761631272733e-05,2.2425494989875e-06,0.0879615843296051,0.05,0.133707166023541,0.38776584971673
0.0997155441514734,-0.00844095461070538,0.00117924681399018,-0.0993506386876106,0.0766897611973587,0.0766893476247787,0.000231258149142377,-9.97650349745527e-05,12.2441701889038,0.000227139142225496,7.58897949708626e-05,1.68961855706584e-06,0.0685703530907631,0.05,0.162312466027142,0.358913154360911
0.11163552964044,-0.00765119073912501,-0.000822269765194505,-0.111369989812374,0.0756571181403484,0.0756565406918526,0.000294248719001189,-2.81697721220553e-05,11.9429779052734,0.000221551788854413,8.01078058429994e-05,1.87487307812262e-06,0.0736726894974709,0.05,0.152472974334332,0.37325671637983
0.124548951496903,-0.00673780497163534,-0.00231063994579017,-0.124345101416111,0.0745123886280156,0.0745116025209427,0.000341000297339633,2.94552319246577e-05,11.5982618331909,0.000215157037018798,8.44143869471736e-05,2.07184257305926e-06,0.0795241519808769,0.05,0.142938363791514,0.38776584971673
0.13852237555703,-0.00575825944542885,-0.0032814817968756,-0.138363733887672,0.0732608874856374,0.0732599049806595,0.000372624606825411,7.147244468797e-05,11.1979560852051,0.00020773104915861,8.87183050508611e-05,2.27786995310453e-06,0.0864426046609879,0.05,0.133707166023541,0.40242319432331
0.0906234688409289,-0.00828469824045897,0.00255110627040267,-0.0902079194784164,0.0776490754037327,0.0776486545801163,0.000209115736652166,-0.000147049519000575,12.591721534729,0.000233586499234661,7.27790466044098e-05,1.55352984165802e-06,0.0630743131041527,0.05,0.172457539268062,0.358913154360911
0.101512290551701,-0.00757759111002088,0.000415049318689853,-0.101228222250938,0.0767005539648502,0.0767000094056129,0.000279583677183837,-7.32711487216875e-05,12.3292694091797,0.000228717806749046,7.68582758610137e-05,1.72593979641533e-06,0.0674647465348244,0.05,0.162312466027142,0.37325671637983
