"Iteration","Continuity: Residual","X-momentum: Residual","Y-momentum: Residual","Z-momentum: Residual","Tdr: Residual","uu-stress: Residual","vv-stress: Residual","ww-stress: Residual","uv-stress: Residual","vw-stress: Residual","uw-stress: Residual","Alpha: Residual"
1.0,1.4939013257222729E-6,1.0,3.462397179260086E-6,3.381440930897444E-6,0.726679410804884,0.5615490653577645,0.1952805371563943,0.19523046305840677,1.0,0.0,1.0,2.0512515744628177E-5
22.0,0.2581537467431235,0.8884840229421817,0.18681052580701807,0.18457006763424721,0.13567099686561046,0.04259600328614045,0.02311081721233245,0.023106233612498122,0.0024585948752747127,0.017029548526801618,0.002460082271543746,0.2721549076990869
43.0,0.03351518536655995,0.8864474861931806,0.05755087814089697,0.056576456843089505,0.0034020758939064494,0.028946457988895804,0.012056174120679677,0.012054829172744653,0.003372584735527143,0.0030625114738611326,0.0033534021216349266,0.14533319729074504
64.0,0.01800378175691677,0.8836698004133872,0.03928303593738216,0.038586388150133225,0.002321442371558146,0.02393831529302322,0.010261992513132812,0.010262765747830822,0.003931285081898557,0.00299526997062149,0.003908006923665262,0.10077695346954599
85.0,0.013747732716463434,0.8805296144812165,0.03608407741283641,0.03540954300497574,0.001836561852327382,0.01997695228460182,0.00890610108432404,0.008907383420388992,0.004373375831370292,0.003069843956148397,0.0043580396414432815,0.07769214688593284
106.0,0.010260853964089682,0.8771706519929566,0.03603302715085515,0.03535816426889783,0.0014917689201120916,0.01666546900954252,0.007804926138179133,0.007805425933443964,0.004702737453823173,0.003114466005428447,0.004696738790159634,0.06339060417467295
127.0,0.0077734664063966,0.873704542732669,0.0371107576315153,0.03641477555560212,0.0012273504865562333,0.013818160138776079,0.0068824196467506295,0.006881747722465603,0.004914922980519306,0.0031324753415922914,0.004915121784728926,0.05360117659071627
148.0,0.006044158251837433,0.8702310269312502,0.038503388140103886,0.03778676865016946,0.00101702482549782,0.011350960848485157,0.0060958150931138206,0.006094254756282606,0.005013053870015279,0.003135460910132391,0.005016245968287551,0.04645598423912467
169.0,0.004802216068823204,0.8668255945142878,0.039928432482757764,0.0391990568440705,8.466431424085303E-4,0.00924096640771009,0.005416854381347982,0.00541492095415526,0.005005565435087106,0.0031372026879169725,0.005009548908161087,0.040997556743516766
190.0,0.0038968775782768205,0.8635455557298835,0.041259742310280095,0.04049856512030102,7.074397980116185E-4,0.007509694440875531,0.0048256524429664705,0.00482378288022203,0.00490550739871621,0.0031509325088895277,0.004909033766466499,0.036683132669859786
211.0,0.0032328713334131357,0.8604375293260694,0.04245737707181515,0.041656933135598775,5.924054486026034E-4,0.006206926624778456,0.004307308123161568,0.004305799270518874,0.004729820459403617,0.003184390038915424,0.004732574406244584,0.033179119578737294
232.0,0.002705548177350838,0.8575348839664133,0.043501979437874295,0.04263211651643062,4.971183792317035E-4,0.005378668774351658,0.0038504521679053536,0.0038494279218331704,0.004498705503957726,0.0032384237582455473,0.0045008550799147794,0.030271175448428694
253.0,0.002292274702324115,0.8548634836590867,0.04436516097423873,0.04343570508270178,4.184228125777701E-4,0.00501119660038356,0.0034463498238719676,0.0034458189565044713,0.004234067995672101,0.0033070896899201445,0.0042358992665562185,0.027813048857251055
274.0,0.0019798627904493793,0.8524232114288549,0.04503678813204252,0.04406016512465599,3.5320232966823753E-4,0.004995795776588615,0.003088105252128317,0.003088045085280977,0.00395731117142111,0.003380327435851721,0.003959191356582582,0.02570039331468049
295.0,0.0017147900153014109,0.8502247233043421,0.04548699988331847,0.04448774696832892,2.989957337494332E-4,0.00517757177282963,0.0027703810824410966,0.0027707126530272714,0.0036873506039974894,0.0034470543665705206,0.003689580780465618,0.023861102512039684
316.0,0.0014857144661923414,0.8482629242457765,0.04571133096574541,0.04471319092856032,2.5445275578216294E-4,0.005427985826197736,0.002488743641290381,0.0024894309619613486,0.0034387671576052805,0.003497478263478803,0.003441424769443251,0.022239598356536286
337.0,0.0013186925721348497,0.8465166828365334,0.04569061417809106,0.04471272432073141,2.17564562847174E-4,0.005670946181706714,0.002239626305205644,0.002240619623210387,0.0032206988521304362,0.0035249622978659016,0.0032238024726445828,0.02079278956846173
358.0,0.001153688812651805,0.8449886863036904,0.04542602685912289,0.04448600708619004,1.8709835406228984E-4,0.005871582393068014,0.0020197670424893298,0.0020210279760875883,0.0030371523566407725,0.0035263234667178675,0.0030407560651849333,0.01949126214247682
379.0,0.0010046526045084572,0.8436559742294805,0.04491933807186256,0.04402225727410242,1.6227911890397684E-4,0.006019723973717432,0.001826271205594294,0.0018277669172181855,0.0028878495235457476,0.003501718757756604,0.0028919904665633193,0.01830755511562584
400.0,9.024748550756614E-4,0.8425038764484988,0.04418433504480221,0.04333057327354027,1.4176576197340722E-4,0.006117404275022922,0.0016564400050333842,0.001658126964425218,0.002769853402027981,0.0034538393918617104,0.002774654382488693,0.017223917253703865
421.0,8.043372048280699E-4,0.8415209467411052,0.04324207351155903,0.04242891428321825,1.2535762898121326E-4,0.006171463899086821,0.0015076771477291137,0.0015095202825536305,0.0026789624414943008,0.0033869988205610844,0.002684524026629468,0.016223937163849605
442.0,7.342103335184123E-4,0.8406842730084083,0.04212194857461684,0.04134122809458052,1.1201385577682192E-4,0.006190077612586984,0.0013776634380870748,0.0013795676631123024,0.002610897460198524,0.003306320829521618,0.002617288577352749,0.01529609755520448
