"Iteration","Mass Flow 1 Monitor: Mass Flow 1 Monitor (kg/s)"
1.0,2.499535904037449E-6
13.0,3.3172575410428676E-5
26.0,6.658245599635997E-5
38.0,9.740402856131778E-5
51.0,1.3049239712124058E-4
63.0,1.6084121692271858E-4
76.0,1.93564070671528E-4
89.0,2.261590177148204E-4
101.0,2.5615341786560454E-4
114.0,2.8856517224014826E-4
126.0,3.1842332803573657E-4
139.0,3.5071763450001385E-4
152.0,3.829730235217678E-4
164.0,4.127228203914242E-4
177.0,4.44936463585412E-4
189.0,4.7466654069045205E-4
202.0,5.068767974111571E-4
215.0,5.390981149835366E-4
227.0,5.688578599256944E-4
240.0,6.011223337552706E-4
252.0,6.309333944385888E-4
265.0,6.632650258668304E-4
277.0,6.931472286024877E-4
290.0,7.25564968815304E-4
303.0,7.580341819171492E-4
315.0,7.88054874145689E-4
328.0,8.206341628760801E-4
340.0,8.507627506650401E-4
353.0,8.83464982376279E-4
366.0,9.162353548573813E-4
378.0,9.46547420963696E-4
391.0,9.79455353306797E-4
403.0,0.0010098983332833971
416.0,0.0010429520568235482
429.0,0.0010760846079855904
441.0,0.001106740176662167
454.0,0.001140029549258936
466.0,0.0011708326017322082
479.0,0.0012042845590368608
491.0,0.001235240098257756
504.0,0.001268859892723511
517.0,0.0013025689591717102
529.0,0.0013337653394591914
542.0,0.0013676495864365004
554.0,0.0013990096717360402
567.0,0.001433073159023623
580.0,0.001467231155969622
592.0,0.0014988464043418494
605.0,0.0015331888645659904
617.0,0.0015649757213433038
630.0,0.0015995056110777962
643.0,0.0016341339910681614
655.0,0.0016661866157698076
668.0,0.0017010061286529322
680.0,0.0017332361193524578
693.0,0.0017682486450387013
705.0,0.001800657498306314
718.0,0.0018358644866614008
731.0,0.0018711729422733097
743.0,0.0019038556150052161
756.0,0.0019393596815926236
768.0,0.00197222306126091
781.0,0.002007923045561793
794.0,0.002043724915438501
806.0,0.002076863133146296
819.0,0.0021128606543945445
831.0,0.0021461792439675274
844.0,0.002182371748368722
857.0,0.0022186653772673396
869.0,0.0022522567663698393
882.0,0.0022887442765066076
894.0,0.002322514230677299
907.0,0.0023591947600398347
919.0,0.00239314250650125
932.0,0.002430015130214498
945.0,0.0024669872739906166
957.0,0.0025012035733051434
970.0,0.002538366589497969
982.0,0.0025727587685203087
995.0,0.0026101119857880615
1008.0,0.0026475639120477133
1020.0,0.0026822223785412554
1033.0,0.0027198636700234507
1045.0,0.002754696766158759
1058.0,0.002792527156021931
1071.0,0.0028304558484186794
1083.0,0.0028655541856619
1096.0,0.0029036719400909678
1108.0,0.00293894485479101
1121.0,0.002977251784976168
1133.0,0.0030126994040366984
1146.0,0.0030511957342572653
1159.0,0.0030897906945015117
1171.0,0.0031255044450586382
1184.0,0.0031642893469605434
1196.0,0.0032001785321947923
1209.0,0.003239153675668784
1222.0,0.0032782280270751804
1234.0,0.0033143848414560126
1247.0,0.003353650329057519
1259.0,0.003389983724597155
1272.0,0.0034294406437179563
1285.0,0.0034689972116583217
1297.0,0.003505599614489314
1310.0,0.003545348439174652
1322.0,0.003582128606329525
1335.0,0.0036220702172639766
1347.0,0.0036590284123833396
1360.0,0.003699162862338109
1373.0,0.0037393976730976186
1385.0,0.0037766267034048846
1398.0,0.0038170548954400215
