"Velocity[i] (m/s)","X (m)","Y (m)","Z (m)"
0,0.05,0.48,0
0.000656421558232978,0.05,0.48,0.02
0.000657090902677737,0.05,0.5,0.02
0,0.05,0.5,0
0.00127407937543467,0.05,0.48,0.04
0.00127541436813772,0.05,0.5,0.04
0,0.05,0.46,0
0.00065440986509202,0.05,0.46,0.02
0.00185430844430812,0.05,0.48,0.06
0.00185630179475993,0.05,0.5,0.06
0.0012700671213679,0.05,0.46,0.04
0,0.05,0.44,0
0.000651044712867588,0.05,0.44,0.0199999999999999
0.00239842897281051,0.05,0.48,0.08
0.00240106985438615,0.05,0.5,0.08
0.00184831768274307,0.05,0.46,0.06
0.00126335554523394,0.05,0.44,0.0399999999999999
0,0.05,0.42,0
0.000646307329589035,0.05,0.42,0.02
0.00290773937013,0.05,0.48,0.1
0.00291101355105639,0.05,0.5,0.1
0.00239049235824496,0.05,0.46,0.08
0.00183829685556702,0.05,0.44,0.0599999999999999
0.00125390748144127,0.05,0.42,0.04
0,0.05,0.4,0
0.00064017104159575,0.05,0.4,0.02
0.00338350952370092,0.05,0.48,0.12
0.00338739971630275,0.05,0.5,0.12
0.00289789959788322,0.05,0.46,0.1
0.00237721728626639,0.05,0.44,0.0799999999999999
0.00182419101474807,0.05,0.42,0.06
0.00124167001922615,0.05,0.4,0.04
0,0.05,0.38,0
0.000632600727840327,0.05,0.38,0.02
0.00382697442546487,0.05,0.48,0.14
0.00383146060630679,0.05,0.5,0.14
0.00337181868962944,0.05,0.46,0.12
0.00288144213845953,0.05,0.44,0.0999999999999999
0.00235853187041357,0.05,0.42,0.08
0.0018059219873976,0.05,0.4,0.06
0.00122657357132994,0.05,0.38,0.04
0,0.05,0.36,0
0.000623552201432176,0.05,0.36,0.02
0.00423932867124677,0.05,0.48,0.16
0.00424438808113337,0.05,0.5,0.16
0.00381349318195134,0.05,0.46,0.14
0.0033522664452903,0.05,0.44,0.12
0.00285827933112159,0.05,0.42,0.1
0.00233433401444927,0.05,0.4,0.08
0.00178338689147495,0.05,0.38,0.06
0.00120853065163828,0.05,0.36,0.04
0,0.05,0.34,0
0.000612971372902393,0.05,0.34,0.0200000000000001
0.00462172133848071,0.05,0.48,0.18
0.00462732883170247,0.05,0.5,0.18
0.0042241255287081,0.05,0.46,0.16
0.00379094830714166,0.05,0.44,0.14
0.00332475075265393,0.05,0.42,0.12
0.00282828672789037,0.05,0.4,0.1
0.00230448937509209,0.05,0.38,0.08
0.00175645665149204,0.05,0.36,0.06
0.00118743415805511,0.05,0.34,0.04
0,0.05,0.32,0
0.000600793027842883,0.05,0.32,0.02
0.00497525092214346,0.05,0.48,0.2
0.00498137949034572,0.05,0.5,0.2
0.00460487185046077,0.05,0.46,0.18
0.00419870321638882,0.05,0.44,0.16
0.0037592247244902,0.05,0.42,0.14
0.00328912673285231,0.05,0.4,0.12
0.00279130099806935,0.05,0.38,0.1
0.00226882967399433,0.05,0.36,0.08
0.00172497337916866,0.05,0.34,0.06
0.00116315520426724,0.05,0.32,0.04
0,0.05,0.3,0
0.00058693941537058,0.05,0.3,0.02
0.00530096108559519,0.05,0.48,0.22
0.00530758197419345,0.05,0.5,0.22
0.0049568364629522,0.05,0.46,0.2
0.00457669876050204,0.05,0.44,0.18
0.00416293495800346,0.05,0.42,0.16
0.00371815916150808,0.05,0.4,0.14
0.00324520457070321,0.05,0.38,0.12
0.00274711748352274,0.05,0.36,0.1
0.00222714943811297,0.05,0.34,0.08
0.00168874734663405,0.05,0.32,0.06
0.00113554019480944,0.05,0.3,0.04
0,0.05,0.28,0
0.000571318312722724,0.05,0.28,0.02
0.00559983775019646,0.05,0.48,0.24
0.00560692069120705,0.05,0.5,0.24
0.00528106815181673,0.05,0.46,0.22
0.00492604915052652,0.05,0.44,0.2
0.00453706516418606,0.05,0.42,0.18
0.00411664129933342,0.05,0.4,0.16
0.00366753799607977,0.05,0.38,0.14
0.00319274666253477,0.05,0.36,0.12
0.00269548688083887,0.05,0.34,0.1
0.00217920198338106,0.05,0.32,0.08
0.00164755288278684,0.05,0.3,0.06
0.00110440720163751,0.05,0.28,0.04
0,0.05,0.26,0
0.000553820478671696,0.05,0.26,0.02
0.00587280665058643,0.05,0.48,0.26
0.00588032021187246,0.05,0.5,0.26
0.00557855737861246,0.05,0.46,0.24
0.00524781190324575,0.05,0.44,0.22
0.00488274358212948,0.05,0.42,0.2
0.00448577769566327,0.05,0.4,0.18
0.00405958783812821,0.05,0.38,0.16
0.00360709452070296,0.05,0.36,0.14
0.00313146412372589,0.05,0.34,0.12
0.00263611058471724,0.05,0.32,0.1
0.00212469475809485,0.05,0.3,0.08
0.00160112313460559,0.05,0.28,0.06
0.00106954116199631,0.05,0.26,0.04
0,0.05,0.24,0
0.000534316313860472,0.05,0.24,0.02
0.00612072995863855,0.05,0.48,0.28
0.00612864177674055,0.05,0.5,0.28
0.00585023348685354,0.05,0.46,0.26
0.00554298493079841,0.05,0.44,0.24
0.00520103983581066,0.05,0.42,0.22
0.004826714633964,0.05,0.4,0.2
0.00442258408293128,0.05,0.38,0.18
0.00399148237193003,0.05,0.36,0.16
0.00353650492615998,0.05,0.34,0.14
0.00306101213209331,0.05,0.32,0.12
0.00256863539107144,0.05,0.3,0.1
0.00206328285275958,0.05,0.28,0.08
0.00154914357699454,0.05,0.26,0.06
0.00103068740281742,0.05,0.24,0.04
0,0.05,0.22,0
0.0005126512987772,0.05,0.22,0.02
0.0063444048864767,0.05,0.48,0.3
0.00635268166661263,0.05,0.5,0.3
0.00609696144238114,0.05,0.46,0.28
0.00581250316463411,0.05,0.44,0.26
0.00549296184908599,0.05,0.42,0.24
0.00514053681399673,0.05,0.4,0.22
0.00475769478362054,0.05,0.38,0.2
0.00434717023745179,0.05,0.36,0.18
0.00391197117278352,0.05,0.34,0.16
0.00345538399415091,0.05,0.32,0.14
0.00298098393250257,0.05,0.3,0.12
0.00249264651210979,0.05,0.28,0.1
0.00199456099653617,0.05,0.26,0.08
0.00149124301970005,0.05,0.24,0.06
0.000987543084193021,0.05,0.22,0.04
0,0.05,0.2,0
0.000488639743707608,0.05,0.2,0.02
0.00654456217307597,0.05,0.48,0.32
0.00655317027121782,0.05,0.5,0.32
0.00631954066921026,0.05,0.46,0.3
0.00605723634362221,0.05,0.44,0.28
0.00575945223681629,0.05,0.42,0.26
0.00542826461605728,0.05,0.4,0.24
0.00506602285895497,0.05,0.38,0.22
0.00467535178177059,0.05,0.36,0.2
0.00425915722735226,0.05,0.34,0.18
0.00382063433062285,0.05,0.32,0.16
0.00336327881086618,0.05,0.3,0.14
0.00289090356091037,0.05,0.28,0.12
0.00240765849594027,0.05,0.26,0.1
0.00191805313806981,0.05,0.24,0.08
0.0014269819657784,0.05,0.22,0.06
0.000939745586947538,0.05,0.2,0.04
0,0.05,0.18,0
0.000462056021206081,0.05,0.18,0.02
0.0067218643380329,0.05,0.48,0.34
0.00673076952807605,0.05,0.5,0.34
0.00651870365254581,0.05,0.46,0.32
0.00627798750065267,0.05,0.44,0.3
0.00600138737354428,0.05,0.42,0.28
0.00569085089955479,0.05,0.4,0.26
0.00534860347397625,0.05,0.38,0.24
0.004977150936611,0.05,0.36,0.22
0.00457928574178368,0.05,0.34,0.2
0.00415809638798237,0.05,0.32,0.18
0.0037169799907133,0.05,0.3,0.16
0.00325966137461364,0.05,0.28,0.14
0.00279021670576185,0.05,0.26,0.12
0.00231310387607664,0.05,0.24,0.1
0.00183319867937826,0.05,0.22,0.08
0.00135583709925413,0.05,0.2,0.06
0.00088685643277131,0.05,0.18,0.0399999999999999
0,0.05,0.16,0
0.000432621789514087,0.05,0.16,0.02
0.00687690579798073,0.05,0.48,0.36
0.00688607338815928,0.05,0.5,0.36
0.00669511442538351,0.05,0.46,0.34
0.00647549203131348,0.05,0.44,0.32
0.0062195755308494,0.05,0.42,0.3
0.00592917995527387,0.05,0.4,0.28
0.0056064014788717,0.05,0.38,0.26
0.00525361963082105,0.05,0.36,0.24
0.00487350416369736,0.05,0.34,0.22
0.0044690245995298,0.05,0.32,0.2
0.00404346367577091,0.05,0.3,0.18
0.00360043731052428,0.05,0.28,0.16
0.0031439199228771,0.05,0.26,0.14
0.00267827906645834,0.05,0.24,0.12
0.00220831885235384,0.05,0.22,0.1
0.00173933480982669,0.05,0.2,0.08
0.00127718001022004,0.05,0.18,0.0599999999999999
0.000828338132123463,0.05,0.16,0.0399999999999999
0,0.05,0.14,0
0.00039998690772336,0.05,0.14,0.02
0.00701021158602089,0.05,0.48,0.38
0.00701960688456893,0.05,0.5,0.38
0.00684936833567917,0.05,0.46,0.36
0.00665041629690677,0.05,0.44,0.34
0.00641475548036397,0.05,0.42,0.32
0.00614406610839069,0.05,0.4,0.3
