"Velocity[i] (m/s)","X (m)","Y (m)","Z (m)"
0,0.05,0.49,0
0.000333456031512469,0.05,0.49,0.00999999999999995
0.000333539719576947,0.05,0.5,0.01
0,0.05,0.5,0
0.000657052980386652,0.05,0.49,0.02
0.000657220225548372,0.05,0.5,0.02
0,0.05,0.48,0
0.000333204872731585,0.05,0.48,0.01
0.000970958120888099,0.05,0.49,0.03
0.000971208675764501,0.05,0.5,0.03
0.000656551026622765,0.05,0.48,0.02
0,0.05,0.47,0
0.000332785915816203,0.05,0.47,0.01
0.00127533826162107,0.05,0.49,0.0399999999999999
0.00127567182062194,0.05,0.5,0.04
0.000970206063357182,0.05,0.48,0.03
0.000655713680316694,0.05,0.47,0.02
0,0.05,0.46,0
0.00033219855686184,0.05,0.46,0.01
0.00157035951269791,0.05,0.49,0.0499999999999999
0.00157077563926578,0.05,0.5,0.05
0.00127433711895719,0.05,0.48,0.04
0.000968951455433853,0.05,0.47,0.03
0.000654539762763307,0.05,0.46,0.02
0,0.05,0.45,0
0.000331441966409329,0.05,0.45,0.01
0.00185618706746027,0.05,0.49,0.0599999999999999
0.00185668515041471,0.05,0.5,0.06
0.00156911063822918,0.05,0.48,0.05
0.00127266699564643,0.05,0.47,0.04
0.000967192594544031,0.05,0.46,0.03
0.000653027644148096,0.05,0.45,0.02
0,0.05,0.44,0
0.000330515111272689,0.05,0.44,0.01
0.00213298492599279,0.05,0.49,0.07
0.00213356432504952,0.05,0.5,0.07
0.00185469214920886,0.05,0.48,0.06
0.00156702729873359,0.05,0.47,0.05
0.00127032562159002,0.05,0.46,0.04
0.000964927065069787,0.05,0.45,0.03
0.000651175258099101,0.05,0.44,0.02
0,0.05,0.43,0
0.000329416718159337,0.05,0.43,0.01
0.00240091572050005,0.05,0.49,0.0799999999999999
0.00240157567895949,0.05,0.5,0.08
0.002131245972123,0.05,0.48,0.07
0.0018521984166,0.05,0.47,0.06
0.00156410664203577,0.05,0.46,0.05
0.00126730982447043,0.05,0.45,0.04
0.000962151738349348,0.05,0.44,0.03
0.000648980028927326,0.05,0.43,0.02
0,0.05,0.42,0
0.0003281452372903,0.05,0.42,0.01
0.00266014068620279,0.05,0.49,0.0899999999999999
0.0026608802145347,0.05,0.5,0.09
0.00239893508842215,0.05,0.48,0.08
0.00212834519334137,0.05,0.47,0.07
0.00184870243538171,0.05,0.46,0.06
0.00156034471001476,0.05,0.45,0.05
0.00126361538423225,0.05,0.44,0.04
0.000958862729021348,0.05,0.43,0.03
0.000646438857074827,0.05,0.42,0.02
0,0.05,0.41,0
0.000326698878780007,0.05,0.41,0.01
0.00291081925388426,0.05,0.49,0.0999999999999999
0.00291163742076606,0.05,0.5,0.1
0.00265792111167684,0.05,0.48,0.09
0.0023956312215887,0.05,0.47,0.08
0.00212427863152698,0.05,0.46,0.07
0.00184419946162961,0.05,0.45,0.06
0.00155573626398109,0.05,0.44,0.05
0.00125923717860132,0.05,0.43,0.04
0.00095505545323249,0.05,0.42,0.03
0.000643548177322373,0.05,0.41,0.02
0,0.05,0.4,0
0.000325075583532453,0.05,0.4,0.01
0.00315310881705955,0.05,0.49,0.11
0.00315400457475334,0.05,0.5,0.11
0.0029083636472933,0.05,0.48,0.1
0.0026542185805738,0.05,0.47,0.09
0.00239099963800982,0.05,0.46,0.08
0.00211904081515968,0.05,0.45,0.07
0.00183868338353932,0.05,0.44,0.06
0.00155027498840354,0.05,0.43,0.05
0.00125416915398091,0.05,0.42,0.04
0.000950724570429884,0.05,0.41,0.03
0.000640303900581785,0.05,0.4,0.02
0,0.05,0.39,0
0.000323273005051306,0.05,0.39,0.01
0.00338716455735266,0.05,0.49,0.12
0.00338813674170524,0.05,0.5,0.12
0.00315042037982494,0.05,0.48,0.11
0.00290426739957184,0.05,0.47,0.1
0.00264902820345014,0.05,0.46,0.09
0.00238503416767344,0.05,0.45,0.08
0.00211262470111251,0.05,0.44,0.07
0.00183214660501108,0.05,0.43,0.06
0.00154395331628621,0.05,0.42,0.05
0.00124840420903638,0.05,0.41,0.04
0.00094586395425722,0.05,0.4,0.03
0.000636701370240189,0.05,0.39,0.02
0,0.05,0.38,0
0.00032128853854374,0.05,0.38,0.01
0.00361313938628882,0.05,0.49,0.13
0.0036141867749393,0.05,0.5,0.13
0.00338424684014171,0.05,0.48,0.12
0.00314593582879752,0.05,0.47,0.11
0.00289852515561506,0.05,0.46,0.1
0.00264234311180189,0.05,0.45,0.09
0.00237772677792236,0.05,0.44,0.08
0.00210502144182101,0.05,0.43,0.07
0.00182458013296127,0.05,0.42,0.06
0.00153676245827228,0.05,0.41,0.05
0.00124193422379904,0.05,0.4,0.04
0.000940466692554764,0.05,0.39,0.03
0.00063273536216002,0.05,0.38,0.02
0,0.05,0.37,0
0.00031911927726469,0.05,0.37,0.01
0.00383118371246383,0.05,0.49,0.14
0.00383230485022068,0.05,0.5,0.14
0.00360999611439183,0.05,0.48,0.13
0.0033793798647821,0.05,0.47,0.12
0.0031396493432112,0.05,0.46,0.11
0.00289112934842706,0.05,0.45,0.1
0.0026341542834416,0.05,0.44,0.09
0.00236906745703891,0.05,0.43,0.08
0.00209622067632154,0.05,0.42,0.07
0.00181597351911478,0.05,0.41,0.06
0.00152869234443642,0.05,0.4,0.05
0.00123475000145845,0.05,0.39,0.04
0.000934524941840209,0.05,0.38,0.03
0.000628400055575185,0.05,0.37,0.02
0,0.05,0.36,0
0.00031676200160291,0.05,0.36,0.01
0.00404144520871341,0.05,0.49,0.15
0.00404263869859278,0.05,0.5,0.15
0.00382781901862472,0.05,0.48,0.14
0.00360475305933505,0.05,0.47,0.13
0.00337255734484643,0.05,0.46,0.12
0.00313155259937048,0.05,0.45,0.11
0.00288207008270547,0.05,0.44,0.1
0.0026244506589137,0.05,0.43,0.09
0.00235904450528324,0.05,0.42,0.08
0.00208621035562828,0.05,0.41,0.07
0.00180631471448578,0.05,0.4,0.06
0.00151973147876561,0.05,0.39,0.05
0.00122684118105099,0.05,0.38,0.04
