"Velocity[i] (m/s)","X (m)","Y (m)","Z (m)"
0,0.05,0.49,0
3.33455882355338e-05,0.05,0.49,0.00999999999999995
3.33539564962848e-05,0.05,0.5,0.01
0,0.05,0.5,0
6.57052696624305e-05,0.05,0.49,0.02
6.57219934510067e-05,0.05,0.5,0.02
0,0.05,0.48,0
3.33204725393443e-05,0.05,0.48,0.01
9.70957717072451e-05,0.05,0.49,0.03
9.7120828286279e-05,0.05,0.5,0.03
6.5655073740345e-05,0.05,0.48,0.02
0,0.05,0.47,0
3.32785762111598e-05,0.05,0.47,0.01
0.000127533776321798,0.05,0.49,0.0399999999999999
0.00012756713113049,0.05,0.5,0.04
9.70205655903555e-05,0.05,0.48,0.03
6.55713392916368e-05,0.05,0.47,0.02
0,0.05,0.46,0
3.3219840588572e-05,0.05,0.46,0.01
0.000157035890879342,0.05,0.49,0.0499999999999999
0.000157077498442959,0.05,0.5,0.05
0.000127433662783005,0.05,0.48,0.04
9.68951080722036e-05,0.05,0.47,0.03
6.54539489914896e-05,0.05,0.46,0.02
0,0.05,0.45,0
3.31441838170576e-05,0.05,0.45,0.01
0.000185618635441642,0.05,0.49,0.0599999999999999
0.000185668439371511,0.05,0.5,0.06
0.000156911006342852,0.05,0.48,0.05
0.000127266654089908,0.05,0.47,0.04
9.67192263487959e-05,0.05,0.46,0.03
6.53027400403516e-05,0.05,0.45,0.02
0,0.05,0.44,0
3.30515013047261e-05,0.05,0.44,0.01
0.000213298411836149,0.05,0.49,0.07
0.000213356346648652,0.05,0.5,0.07
0.000185469150892459,0.05,0.48,0.06
0.000156702673848486,0.05,0.47,0.05
0.000127032522868831,0.05,0.46,0.04
9.64926766755525e-05,0.05,0.45,0.03
6.51175050734309e-05,0.05,0.44,0.02
0,0.05,0.43,0
3.29416639033298e-05,0.05,0.43,0.01
0.00024009148546611,0.05,0.49,0.0799999999999999
0.000240157474763691,0.05,0.5,0.08
0.000213124527363107,0.05,0.48,0.07
0.000185219778359169,0.05,0.47,0.06
0.000156410613271873,0.05,0.46,0.05
0.000126730945339659,0.05,0.45,0.04
9.62151461862959e-05,0.05,0.44,0.03
