"Velocity[i] (m/s)","X (m)","Y (m)","Z (m)"
0,0.05,0.48,0
0.00656359543791041,0.05,0.48,0.02
0.00657028728164732,0.05,0.5,0.02
0,0.05,0.5,0
0.0127395512536168,0.05,0.48,0.04
0.0127528980374336,0.05,0.5,0.04
0,0.05,0.46,0
0.00654348323587328,0.05,0.46,0.02
0.0185412182472646,0.05,0.48,0.06
0.0185611471533775,0.05,0.5,0.06
0.0126994382590055,0.05,0.46,0.04
0,0.05,0.44,0
0.00650983932428062,0.05,0.44,0.0199999999999999
0.0239817965775728,0.05,0.48,0.08
0.0240081986412406,0.05,0.5,0.08
0.0184813244268298,0.05,0.46,0.06
0.0126323383301497,0.05,0.44,0.0399999999999999
0,0.05,0.42,0
0.00646247563418001,0.05,0.42,0.02
0.0290742674842477,0.05,0.48,0.1
0.0291069997474551,0.05,0.5,0.1
0.0239024488255382,0.05,0.46,0.08
0.018381139729172,0.05,0.44,0.0599999999999999
0.0125378782395273,0.05,0.42,0.04
0,0.05,0.4,0
0.00640112545806915,0.05,0.4,0.02
0.033831330947578,0.05,0.48,0.12
0.0338702220469713,0.05,0.5,0.12
0.0289758942089975,0.05,0.46,0.1
0.0237697288393974,0.05,0.44,0.0799999999999999
0.0182401123456657,0.05,0.42,0.06
0.0124155289959162,0.05,0.4,0.04
0,0.05,0.38,0
0.00632543774554506,0.05,0.38,0.02
0.0382653437554836,0.05,0.48,0.14
0.038310194388032,0.05,0.5,0.14
0.0337144518271089,0.05,0.46,0.12
0.0288113579154015,0.05,0.44,0.0999999999999999
0.0235829162411392,0.05,0.42,0.08
0.0180574599653482,0.05,0.4,0.06
0.0122645951341838,0.05,0.38,0.04
0,0.05,0.36,0
0.00623497029300779,0.05,0.36,0.02
0.0423882519826293,0.05,0.48,0.16
0.0424388349056244,0.05,0.5,0.16
0.0381305627524853,0.05,0.46,0.14
0.0335189756006002,0.05,0.44,0.12
0.0285797822289169,0.05,0.42,0.1
0.0233409884385765,0.05,0.4,0.08
0.0178321548737586,0.05,0.38,0.06
0.0120842014439404,0.05,0.36,0.04
0,0.05,0.34,0
0.00612918194383383,0.05,0.34,0.0200000000000001
0.0462115397676826,0.05,0.48,0.18
0.0462676044553518,0.05,0.5,0.18
0.042236253619194,0.05,0.46,0.16
0.037905165925622,0.05,0.44,0.14
0.033243881072849,0.05,0.42,0.12
0.0282799210399389,0.05,0.4,0.1
0.0230426033958793,0.05,0.38,0.08
0.0175629055593163,0.05,0.36,0.06
0.0118732769042253,0.05,0.34,0.04
0,0.05,0.32,0
0.00600742048118263,0.05,0.32,0.02
0.0497461957857013,0.05,0.48,0.2
0.0498074684292078,0.05,0.5,0.2
0.0460430793464184,0.05,0.46,0.18
0.0419820882380009,0.05,0.44,0.16
0.0375880030915141,0.05,0.42,0.14
0.0328877195715904,0.05,0.4,0.12
0.0279101398773491,0.05,0.38,0.1
0.0226860772818327,0.05,0.36,0.08
0.0172481334302574,0.05,0.34,0.06
0.0116305316332728,0.05,0.32,0.04
0,0.05,0.3,0
0.00586890848353505,0.05,0.3,0.02
0.0530026657506824,0.05,0.48,0.22
0.053068857640028,0.05,0.5,0.22
0.0495620900765061,0.05,0.46,0.2
0.0457614120095968,0.05,0.44,0.18
0.0416244892403483,0.05,0.42,0.16
0.0371774388477206,0.05,0.4,0.14
0.032448589336127,0.05,0.38,0.12
0.0274683926254511,0.05,0.36,0.1
0.0222693551331759,0.05,0.34,0.08
0.016885939752683,0.05,0.32,0.06
0.0113544298801571,0.05,0.3,0.04
0,0.05,0.28,0
0.0057127236505039,0.05,0.28,0.02
0.0559908095747232,0.05,0.48,0.24
0.0560616198927164,0.05,0.5,0.24
0.0528037836775184,0.05,0.46,0.22
0.0492542870342731,0.05,0.44,0.2
