"Velocity[i] (m/s)","X (m)","Y (m)","Z (m)"
0,0.05,0.495,0
0.000167774505825946,0.05,0.495,0.00499999999999996
0.000167784950463101,0.05,0.5,0.005
0,0.05,0.5,0
0.000333063369907904,0.05,0.495,0.00999999999999997
0.000333084259182215,0.05,0.5,0.01
0,0.05,0.49,0
0.000167743182828417,0.05,0.49,0.00499999999999996
0.000495887550641783,0.05,0.495,0.015
0.000495918866363354,0.05,0.5,0.015
0.000333000731188804,0.05,0.49,0.00999999999999997
0,0.05,0.485,0
0.000167690985108493,0.05,0.485,0.00499999999999996
0.000656268006423488,0.05,0.495,0.02
0.000656309741316363,0.05,0.5,0.02
0.000495793632580899,0.05,0.49,0.015
0.000332896357576828,0.05,0.485,0.00999999999999997
0,0.05,0.48,0
0.00016761789447628,0.05,0.48,0.00500000000000002
0.000814225670183077,0.05,0.495,0.025
0.000814277824247256,0.05,0.5,0.025
0.000656142830848694,0.05,0.49,0.02
0.000495637104904745,0.05,0.485,0.015
0.000332750198140275,0.05,0.48,0.01
0,0.05,0.475,0
0.000167523889103904,0.05,0.475,0.00499999999999996
0.000969781409366988,0.05,0.495,0.03
0.000969843968050554,0.05,0.5,0.03
0.000814069266198203,0.05,0.49,0.025
0.000655934200040065,0.05,0.485,0.02
0.000495417923957575,0.05,0.48,0.015
0.000332562209223397,0.05,0.475,0.00999999999999997
0,0.05,0.47,0
0.000167408932611579,0.05,0.47,0.00499999999999996
0.00112295616418123,0.05,0.495,0.035
0.00112302909838036,0.05,0.5,0.035
0.000969593835179694,0.05,0.49,0.03
0.000813808626844548,0.05,0.485,0.025
0.000655642084893771,0.05,0.48,0.02
0.000495136031531729,0.05,0.475,0.015
0.000332332332618535,0.05,0.47,0.00999999999999997
0,0.05,0.465,0
0.000167272981343558,0.05,0.465,0.00499999999999996
0.00127377072931267,0.05,0.495,0.0399999999999999
0.00127385399537161,0.05,0.5,0.04
0.00112273747799918,0.05,0.49,0.035
0.000969281289144419,0.05,0.485,0.03
0.000813443679362535,0.05,0.48,0.025
0.000655266383546405,0.05,0.475,0.02
0.000494791318487842,0.05,0.47,0.015
0.000332060481014196,0.05,0.465,0.00999999999999997
0,0.05,0.46,0
0.000167115991644096,0.05,0.46,0.00500000000000002
0.00142224584124051,0.05,0.495,0.0449999999999999
0.00142233941005543,0.05,0.5,0.045
0.00127352101844735,0.05,0.49,0.0399999999999999
0.00112237309804186,0.05,0.485,0.035
0.000968843625742011,0.05,0.48,0.03
0.000812974278233014,0.05,0.475,0.025
0.000654806950478815,0.05,0.47,0.02
0.000494383661134634,0.05,0.465,0.015
0.000331746559822932,0.05,0.46,0.01
0,0.05,0.455,0
0.00016693790894351,0.05,0.455,0.00500000000000002
0.00156840228009969,0.05,0.495,0.0499999999999999
0.00156850612256676,0.05,0.5,0.05
0.00142196522210725,0.05,0.49,0.0449999999999999
0.00127310492098331,0.05,0.485,0.0399999999999999
0.00112186287879013,0.05,0.48,0.035
0.000968280684901401,0.05,0.475,0.03
0.000812400263384916,0.05,0.47,0.025
0.000654263625619933,0.05,0.465,0.02
0.000493912913952954,0.05,0.46,0.015
0.000331390459905379,0.05,0.455,0.01
0,0.05,0.45,0
0.000166738667758182,0.05,0.45,0.00499999999999996
0.00171226070960984,0.05,0.495,0.055
0.00171237479662523,0.05,0.5,0.055
0.00156809084000997,0.05,0.49,0.0499999999999999
0.00142149758175947,0.05,0.485,0.0449999999999999
