"Velocity[i] (m/s)","X (m)","Y (m)","Z (m)"
0,0.05,0.495,0
0.00166475836886093,0.05,0.495,0.00499999999999996
0.00166486151283607,0.05,0.5,0.005
0,0.05,0.5,0
0.00330466049490497,0.05,0.495,0.00999999999999997
0.00330486672464758,0.05,0.5,0.01
0,0.05,0.49,0
0.00166444954811595,0.05,0.49,0.00499999999999996
0.00491991627495736,0.05,0.495,0.015
0.00492022559046745,0.05,0.5,0.015
0.00330404296983033,0.05,0.49,0.00999999999999997
0,0.05,0.485,0
0.00166393551626243,0.05,0.485,0.00499999999999996
0.00651073583867401,0.05,0.495,0.02
0.0065111480653286,0.05,0.5,0.02
0.00491899019107223,0.05,0.49,0.015
0.00330301519716159,0.05,0.485,0.00999999999999997
0,0.05,0.48,0
0.0016632161277812,0.05,0.48,0.00500000000000002
0.00807732937391847,0.05,0.495,0.025
0.00807784427888691,0.05,0.5,0.025
0.006509501603432,0.05,0.49,0.02
0.00491744908504188,0.05,0.485,0.015
0.00330157671123743,0.05,0.48,0.01
0,0.05,0.475,0
0.00166229112073779,0.05,0.475,0.00499999999999996
0.00961990654468536,0.05,0.495,0.03
0.00962052401155233,0.05,0.5,0.03
0.00807578733656555,0.05,0.49,0.025
0.00650744745507836,0.05,0.485,0.02
0.00491529202554375,0.05,0.48,0.015
0.0032997268717736,0.05,0.475,0.00999999999999997
0,0.05,0.47,0
0.00166116005857475,0.05,0.47,0.00499999999999996
0.0111386766657233,0.05,0.495,0.035
0.0111393965780735,0.05,0.5,0.035
0.00961805717088282,0.05,0.49,0.03
0.00807322084438056,0.05,0.485,0.025
0.00650457246229053,0.05,0.48,0.02
0.00491251796483994,0.05,0.475,0.015
0.00329746509669349,0.05,0.47,0.00999999999999997
0,0.05,0.465,0
0.00165982244652696,0.05,0.465,0.00499999999999996
0.0126338489353657,0.05,0.495,0.0399999999999999
0.0126346708275378,0.05,0.5,0.04
0.0111365206539631,0.05,0.49,0.035
0.00961497914977372,0.05,0.485,0.03
0.00806962884962559,0.05,0.48,0.025
0.00650087546091527,0.05,0.475,0.02
0.00490912620443851,0.05,0.47,0.015
0.00329479039646685,0.05,0.465,0.00999999999999997
0,0.05,0.46,0
0.00165827787714079,0.05,0.46,0.00500000000000002
0.0141056322026998,0.05,0.495,0.0449999999999999
0.0141065558418632,0.05,0.5,0.045
0.0126313872169703,0.05,0.49,0.0399999999999999
0.0111329322680831,0.05,0.485,0.035
0.00961067131720483,0.05,0.48,0.03
0.00806500983890146,0.05,0.475,0.025
0.00649635493755341,0.05,0.47,0.02
0.0049051153473556,0.05,0.465,0.015
0.00329170183977112,0.05,0.46,0.01
0,0.05,0.455,0
0.00165652582654729,0.05,0.455,0.00500000000000002
0.0155542355496436,0.05,0.495,0.0499999999999999
0.0155552611686289,0.05,0.5,0.05
0.0141028657089919,0.05,0.49,0.0449999999999999
0.0126272898633033,0.05,0.485,0.0399999999999999
0.0111279101110995,0.05,0.48,0.035
0.00960513181053102,0.05,0.475,0.03
0.00805936206597835,0.05,0.47,0.025
0.00649100914597511,0.05,0.465,0.02
0.00490048388019204,0.05,0.46,0.015
0.00328819832066074,0.05,0.455,0.01
0,0.05,0.45,0
0.00165456559625454,0.05,0.45,0.00499999999999996
0.0169798657298088,0.05,0.495,0.055
0.0169809926301241,0.05,0.5,0.055
0.0155511645134538,0.05,0.49,0.0499999999999999
0.0140982605516911,0.05,0.485,0.0449999999999999
0.0126215552445501,0.05,0.48,0.04
0.0111214520875365,0.05,0.475,0.035
0.00959835876710713,0.05,0.47,0.03
0.00805268343538046,0.05,0.465,0.025
0.00648483622353524,0.05,0.46,0.02
0.00489523005671799,0.05,0.455,0.015
0.00328427855856717,0.05,0.45,0.00999999999999997
0,0.05,0.445,0
0.00165239657508209,0.05,0.445,0.00499999999999996
0.0183827308937907,0.05,0.495,0.06
0.0183839583769441,0.05,0.5,0.06
0.016976491548121,0.05,0.49,0.055
0.0155460534151644,0.05,0.485,0.0499999999999999
0.0140918153338134,0.05,0.48,0.045
0.0126141807995737,0.05,0.475,0.0399999999999999
0.0111135561019182,0.05,0.47,0.035
0.00959034962579608,0.05,0.465,0.03
0.00804497126955539,0.05,0.46,0.025
0.00647783395834267,0.05,0.455,0.02
0.00488935213070363,0.05,0.45,0.015
0.00327994133112952,0.05,0.445,0.00999999999999997
0,0.05,0.44,0
0.00165001791901886,0.05,0.44,0.00499999999999996
0.0197630389593542,0.05,0.495,0.065
0.0197643665596843,0.05,0.5,0.065
0.01837905542925,0.05,0.49,0.06
0.0169708761386573,0.05,0.485,0.055
0.0155389001592994,0.05,0.48,0.05
0.0140835274942219,0.05,0.475,0.0449999999999999
0.0126051644328982,0.05,0.47,0.0399999999999999
0.0111042188946158,0.05,0.465,0.035
0.00958110112696886,0.05,0.46,0.03
0.00803622300736606,0.05,0.455,0.025
0.00647000002209097,0.05,0.45,0.02
0.0048828482395038,0.05,0.445,0.015
0.00327518483391032,0.05,0.44,0.00999999999999997
0,0.05,0.435,0
0.00164742875494994,0.05,0.435,0.00499999999999996
0.0211209943518043,0.05,0.495,0.07
0.0211224220693111,0.05,0.5,0.07
0.0197590631432831,0.05,0.49,0.065
0.0183729375712574,0.05,0.485,0.06
0.0169630171731114,0.05,0.48,0.055
0.0155297012533993,0.05,0.475,0.0499999999999999
