"Velocity[i] (m/s)","X (m)","Y (m)","Z (m)"
0,0.05,0.49,0
0.00333321822108701,0.05,0.49,0.00999999999999995
0.00333405449055135,0.05,0.5,0.01
0,0.05,0.5,0
0.006567845470272,0.05,0.49,0.02
0.00656951661221683,0.05,0.5,0.02
0,0.05,0.48,0
0.00333070865599439,0.05,0.48,0.01
0.00970555399544537,0.05,0.49,0.03
0.00970805762335658,0.05,0.5,0.03
0.00656283006537706,0.05,0.48,0.02
0,0.05,0.47,0
0.00332652265205979,0.05,0.47,0.01
0.012748011155054,0.05,0.49,0.0399999999999999
0.0127513441257179,0.05,0.5,0.04
0.00969803961925209,0.05,0.48,0.03
0.00655446364544332,0.05,0.47,0.02
0,0.05,0.46,0
0.0033206541556865,0.05,0.46,0.01
0.0156968776136637,0.05,0.49,0.0499999999999999
0.015701035503298,0.05,0.5,0.05
0.0127380080521107,0.05,0.48,0.04
0.00968550425022841,0.05,0.47,0.03
0.00654273468535393,0.05,0.46,0.02
0,0.05,0.45,0
0.00331309495959431,0.05,0.45,0.01
0.0185538064688444,0.05,0.49,0.0599999999999999
0.0185587834566832,0.05,0.5,0.06
0.0156843995209783,0.05,0.48,0.05
0.0127213213127106,0.05,0.47,0.04
0.00966793112456799,0.05,0.46,0.03
0.00652762700337917,0.05,0.45,0.02
0,0.05,0.44,0
0.00330383470281959,0.05,0.44,0.01
0.0213204398751259,0.05,0.49,0.07
0.0213262289762497,0.05,0.5,0.07
0.018538870383054,0.05,0.48,0.06
0.015663584228605,0.05,0.47,0.05
0.0126979281194508,0.05,0.46,0.04
0.00964529579505324,0.05,0.45,0.03
0.00650911952834576,0.05,0.44,0.02
0,0.05,0.43,0
0.00329286040505394,0.05,0.43,0.01
0.0239984039217234,0.05,0.49,0.0799999999999999
0.0240049976855516,0.05,0.5,0.08
0.0213030655868351,0.05,0.48,0.07
0.0185139551758766,0.05,0.47,0.06
0.015634402865544,0.05,0.46,0.05
0.0126677963417023,0.05,0.45,0.04
0.00961756659671664,0.05,0.44,0.03
0.00648718629963696,0.05,0.43,0.02
0,0.05,0.42,0
0.00328015658305958,0.05,0.42,0.01
0.0265893083997071,0.05,0.49,0.0899999999999999
0.0265966979786754,0.05,0.5,0.09
0.0239786147139966,0.05,0.48,0.08
0.0212740837596357,0.05,0.47,0.07
0.0184790259227157,0.05,0.46,0.06
0.015596816316247,0.05,0.45,0.05
0.0126308840699494,0.05,0.44,0.04
0.00958470511250198,0.05,0.43,0.03
0.00646179658360779,0.05,0.42,0.02
0,0.05,0.41,0
0.00326570530887693,0.05,0.41,0.01
0.0290947468020022,0.05,0.49,0.0999999999999999
0.0291029224172235,0.05,0.5,0.1
0.0265671317465603,0.05,0.48,0.09
0.023945604916662,0.05,0.47,0.08
0.0212334548123181,0.05,0.46,0.07
0.0184340360574424,0.05,0.45,0.06
0.0155507726594806,0.05,0.44,0.05
0.012587140314281,0.05,0.43,0.04
0.00954666547477245,0.05,0.42,0.03
0.00643291452433914,0.05,0.41,0.02
0,0.05,0.4,0
0.00324948591878638,0.05,0.4,0.01
0.0315162958577275,0.05,0.49,0.11
0.0315252467989922,0.05,0.5,0.11
0.0290702115744352,0.05,0.48,0.1
0.0265301391482353,0.05,0.47,0.09
0.0238993307575583,0.05,0.46,0.08
0.0211811233311892,0.05,0.45,0.07
0.018378924112767,0.05,0.44,0.06
0.0154962076339871,0.05,0.43,0.05
0.0125365040730685,0.05,0.42,0.04
0.00950339389964938,0.05,0.41,0.03
0.00640049914363772,0.05,0.4,0.02
0,0.05,0.39,0
0.00323147518793121,0.05,0.39,0.01
0.0338555118069053,0.05,0.49,0.12
0.0338652264326811,0.05,0.5,0.12
0.0314894341863692,0.05,0.48,0.11
0.0290292855352163,0.05,0.47,0.1
0.0264782812446356,0.05,0.46,0.09
0.023839729372412,0.05,0.45,0.08
0.0211170185357332,0.05,0.44,0.07
0.0183136137202382,0.05,0.43,0.06
0.0154330455698073,0.05,0.42,0.05
0.0124789043329656,0.05,0.41,0.04
0.00945482891984284,0.05,0.4,0.03
0.00636450387537479,0.05,0.39,0.02
0,0.05,0.38,0
0.00321164703927934,0.05,0.38,0.01
0.0361139262095094,0.05,0.49,0.13
0.0361243914812803,0.05,0.5,0.13
0.0338263595476747,0.05,0.48,0.12
0.031444629188627,0.05,0.47,0.11
0.0289719142019749,0.05,0.46,0.1
0.0264114895835519,0.05,0.45,0.09
0.0237667197361588,0.05,0.44,0.08
0.0210410528816283,0.05,0.43,0.07
0.0182380145415664,0.05,0.42,0.06
0.0153611993882805,0.05,0.41,0.05
0.0124142593704164,0.05,0.4,0.04
0.00940090115182102,0.05,0.39,0.03
0.00632487656548619,0.05,0.38,0.02
0,0.05,0.37,0
0.00318997219437733,0.05,0.37,0.01
0.0382930412888527,0.05,0.49,0.14
0.0383042432367802,0.05,0.5,0.14
0.0360825210809708,0.05,0.48,0.13
