"Velocity[i] (m/s)","X (m)","Y (m)","Z (m)"
0.000163947406690568,0.05,0.4775,0.0525
0.000149361789226532,0.05,0.4725,0.0474999999999999
0.00013454825966619,0.05,0.4675,0.0424999999999999
0.000119511008961126,0.05,0.4625,0.0375
0.000104254271718673,0.05,0.4575,0.0325
8.87823262019083e-05,0.05,0.4525,0.0275
7.30994288460352e-05,0.05,0.4475,0.0225
5.7209879742004e-05,0.05,0.4425,0.0175
4.11179826187436e-05,0.05,0.4375,0.0125
2.48280593950767e-05,0.05,0.4325,0.00749999999999999
8.34443289932096e-06,0.05,0.4275,0.0025
0.000233311322517693,0.05,0.4975,0.0775
0.000219897512579337,0.05,0.4925,0.0725
0.000206239215913229,0.05,0.4875,0.0675
0.000192340507055633,0.05,0.4825,0.0625
0.000178205489646643,0.05,0.4775,0.0575
0.000163838310982101,0.05,0.4725,0.0524999999999999
0.00014924313290976,0.05,0.4675,0.0474999999999999
0.000134424190036953,0.05,0.4625,0.0425
0.000119385673315264,0.05,0.4575,0.0375
0.000104131853731815,0.05,0.4525,0.0325
8.86670241015963e-05,0.05,0.4475,0.0275
7.29954772396013e-05,0.05,0.4425,0.0225
5.71215168747585e-05,0.05,0.4375,0.0175
4.10494867537636e-05,0.05,0.4325,0.0125
2.47837215283653e-05,0.05,0.4275,0.00749999999999999
8.32856949273264e-06,0.05,0.4225,0.00249999999999998
0.000246476585743949,0.05,0.4975,0.0825
0.000233279366511852,0.05,0.4925,0.0775
0.000219837646000087,0.05,0.4875,0.0725
0.000206155469641089,0.05,0.4825,0.0675
0.000192236926523037,0.05,0.4775,0.0625
0.000178086163941771,0.05,0.4725,0.0575
0.00016370732919313,0.05,0.4675,0.0524999999999999
0.000149104613228701,0.05,0.4625,0.0475
0.000134282279759645,0.05,0.4575,0.0425
0.000119244534289464,0.05,0.4525,0.0375
0.000103995691461023,0.05,0.4475,0.0325
8.85400440893136e-05,0.05,0.4425,0.0275
7.28819213691168e-05,0.05,0.4375,0.0225
5.70256561331917e-05,0.05,0.4325,0.0175
4.09756066801492e-05,0.05,0.4275,0.0125
2.47361349465791e-05,0.05,0.4225,0.00749999999999997
8.31161742098629e-06,0.05,0.4175,0.00249999999999998
0.000259425229160115,0.05,0.4975,0.0875
0.000246442621573806,0.05,0.4925,0.0825
0.000233215483603999,0.05,0.4875,0.0775
0.000219747831579298,0.05,0.4825,0.0725
0.000206043769139797,0.05,0.4775,0.0675
0.00019210739992559,0.05,0.4725,0.0625
0.000177942885784432,0.05,0.4675,0.0575
0.00016355438856408,0.05,0.4625,0.0525
0.000148946171975695,0.05,0.4575,0.0475
0.000134122470626608,0.05,0.4525,0.0425
0.000119087548227981,0.05,0.4475,0.0375
0.000103845726698637,0.05,0.4425,0.0325
8.84013425093144e-05,0.05,0.4375,0.0275
7.27587248547934e-05,0.05,0.4325,0.0225
5.69222574995365e-05,0.05,0.4275,0.0175
4.08963132940698e-05,0.05,0.4225,0.0125
2.46852869167924e-05,0.05,0.4175,0.00749999999999997
8.29357122711372e-06,0.05,0.4125,0.00249999999999998
0.000272159260930493,0.05,0.4975,0.0925
0.000259389285929501,0.05,0.4925,0.0875
0.00024637472233735,0.05,0.4875,0.0825
0.000233119644690305,0.05,0.4825,0.0775
0.000219628054765053,0.05,0.4775,0.0725
0.000205904085305519,0.05,0.4725,0.0675
0.000191951869055629,0.05,0.4675,0.0625
0.000177775596966967,0.05,0.4625,0.0575
0.000163379474543035,0.05,0.4575,0.0525
0.00014876775094308,0.05,0.4525,0.0475
0.000133944704430178,0.05,0.4475,0.0424999999999999
0.000118914656923153,0.05,0.4425,0.0375
